CMDLINE python EyeTracking.py
MEM 139.433594 1452278523.1330
MEM 139.433594 1452278523.2475
MEM 139.433594 1452278523.3575
MEM 139.433594 1452278523.4681
MEM 139.445312 1452278523.5785
MEM 139.457031 1452278523.6898
MEM 139.492188 1452278523.8005
MEM 139.531250 1452278523.9109
MEM 139.531250 1452278524.0281
MEM 139.531250 1452278524.1453
MEM 139.531250 1452278524.2553
MEM 139.824219 1452278524.3711
MEM 139.824219 1452278524.4878
MEM 139.824219 1452278524.6004
MEM 139.824219 1452278524.7114
MEM 139.824219 1452278524.8220
MEM 139.824219 1452278524.9389
MEM 140.410156 1452278525.0528
MEM 140.410156 1452278525.1680
MEM 140.410156 1452278525.2842
MEM 140.410156 1452278525.3955
MEM 140.410156 1452278525.5088
MEM 140.410156 1452278525.6253
MEM 140.425781 1452278525.7472
MEM 140.722656 1452278525.8572
MEM 140.757812 1452278525.9692
MEM 140.761719 1452278526.0808
MEM 140.792969 1452278526.1975
MEM 140.792969 1452278526.3122
MEM 140.792969 1452278526.4234
MEM 141.378906 1452278526.5329
MEM 141.378906 1452278526.6432
MEM 141.378906 1452278526.7561
MEM 141.378906 1452278526.8676
MEM 141.378906 1452278526.9773
MEM 141.378906 1452278527.0875
MEM 141.378906 1452278527.1990
MEM 141.378906 1452278527.3100
MEM 142.257812 1452278527.4210
MEM 142.257812 1452278527.5372
MEM 142.257812 1452278527.6521
MEM 142.257812 1452278527.7625
MEM 142.257812 1452278527.8723
MEM 142.273438 1452278527.9823
MEM 142.312500 1452278528.0934
MEM 142.324219 1452278528.2038
MEM 142.359375 1452278528.3145
MEM 142.359375 1452278528.4254
MEM 142.359375 1452278528.5355
MEM 142.652344 1452278528.6471
MEM 142.652344 1452278528.7584
MEM 142.652344 1452278528.8678
MEM 142.652344 1452278528.9829
MEM 142.652344 1452278529.0929
MEM 142.652344 1452278529.2051
MEM 142.652344 1452278529.3207
MEM 142.652344 1452278529.4330
MEM 142.652344 1452278529.5451
MEM 142.652344 1452278529.6638
MEM 142.652344 1452278529.7744
MEM 142.652344 1452278529.8845
MEM 142.652344 1452278529.9949
MEM 142.664062 1452278530.1053
MEM 143.253906 1452278530.2210
MEM 143.875000 1452278530.3323
MEM 143.914062 1452278530.4432
MEM 143.914062 1452278530.5533
MEM 143.914062 1452278530.6640
MEM 143.914062 1452278530.7761
MEM 143.914062 1452278530.8884
MEM 143.914062 1452278530.9987
MEM 143.914062 1452278531.1086
MEM 143.914062 1452278531.2196
MEM 143.914062 1452278531.3335
MEM 143.914062 1452278531.4443
MEM 144.207031 1452278531.5557
MEM 144.207031 1452278531.6654
MEM 144.207031 1452278531.7799
MEM 144.500000 1452278531.8904
MEM 144.500000 1452278532.0007
MEM 144.500000 1452278532.1106
MEM 144.500000 1452278532.2264
MEM 144.515625 1452278532.3365
MEM 144.812500 1452278532.4485
MEM 144.847656 1452278532.5603
MEM 144.890625 1452278532.6698
MEM 145.261719 1452278532.7826
MEM 145.261719 1452278532.8947
MEM 145.261719 1452278533.0045
MEM 145.261719 1452278533.1142
MEM 145.261719 1452278533.2247
MEM 145.554688 1452278533.3348
MEM 145.554688 1452278533.4455
MEM 145.554688 1452278533.5617
MEM 145.554688 1452278533.6778
MEM 145.554688 1452278533.7920
MEM 145.867188 1452278533.9025
MEM 145.867188 1452278534.0128
MEM 145.867188 1452278534.1239
MEM 145.867188 1452278534.2342
MEM 145.867188 1452278534.3473
MEM 146.171875 1452278534.4591
MEM 146.171875 1452278534.5766
MEM 146.203125 1452278534.6871
MEM 146.214844 1452278534.7979
MEM 146.355469 1452278534.9077
MEM 146.355469 1452278535.0191
MEM 146.355469 1452278535.1320
MEM 146.648438 1452278535.2424
MEM 146.648438 1452278535.3526
MEM 146.648438 1452278535.4646
MEM 146.648438 1452278535.5809
MEM 146.648438 1452278535.6925
MEM 146.648438 1452278535.8049
MEM 146.648438 1452278535.9147
MEM 146.941406 1452278536.0321
MEM 146.941406 1452278536.1443
